event_type	onset	duration	height	word
4	210.194	14.375	1	
7	210.679	0.000	0	Ja
7	210.865	0.000	0	tyeh
7	211.145	0.000	0	Hkimobriewa
7	211.760	0.000	0	dokuc
7	212.236	0.000	0	vek
7	212.469	0.000	0	yura
7	213.037	0.000	0	ut
7	213.233	0.000	0	qla
7	213.363	0.000	0	rum
7	213.634	0.000	0	up
7	213.690	0.000	0	u
7	213.774	0.000	0	rxeca-qiliv
7	215.004	0.000	0	uv
7	215.172	0.000	0	cni
7	215.275	0.000	0	lbehp
7	215.601	0.000	0	falm
7	216.179	0.000	0	ul
7	216.263	0.000	0	Tpsickenb-agep-Oruc.
7	218.836	0.000	0	Ka
7	219.003	0.000	0	atzob
7	219.330	0.000	0	ex
7	219.451	0.000	0	im
7	219.614	0.000	0	i
7	219.730	0.000	0	gavr
7	220.066	0.000	0	epq
7	220.215	0.000	0	vujeep
7	220.574	0.000	0	Xehsew
7	221.017	0.000	0	fjotxtaqgn.
7	222.518	0.000	0	Fog
7	222.667	0.000	0	tfuk
7	222.844	0.000	0	kilxayaz
7	223.236	0.000	0	em
7	223.436	0.000	0	gamcoay?
7	224.569	0.000	0	
3	240.000	14.375	1	
6	240.485	0.000	0	We
6	240.671	0.000	0	know
6	240.951	0.000	0	Shakespeare
6	241.566	0.000	0	began
6	242.042	0.000	0	his
6	242.275	0.000	0	life
6	242.843	0.000	0	as
6	243.039	0.000	0	the
6	243.169	0.000	0	son
6	243.440	0.000	0	of
6	243.496	0.000	0	a
6	243.580	0.000	0	glove-maker
6	244.810	0.000	0	in
6	244.978	0.000	0	the
6	245.081	0.000	0	small
6	245.407	0.000	0	town
6	245.985	0.000	0	of
6	246.069	0.000	0	Stratford-upon-Avon.
6	248.642	0.000	0	He
6	248.809	0.000	0	ended
6	249.136	0.000	0	it
6	249.257	0.000	0	as
6	249.420	0.000	0	a
6	249.536	0.000	0	rich
6	249.872	0.000	0	and
6	250.021	0.000	0	famous
6	250.380	0.000	0	London
6	250.823	0.000	0	playwright.
6	252.324	0.000	0	But
6	252.473	0.000	0	what
6	252.650	0.000	0	happened
6	253.042	0.000	0	in
6	253.242	0.000	0	between?
6	254.375	0.000	0	
4	255.375	15.314	1	
7	255.752	0.000	0	Eyhrioby
7	256.279	0.000	0	Rufyaiw
7	256.636	0.000	0	Xmedajzuibi
7	257.341	0.000	0	ew
7	257.520	0.000	0	dihn
7	257.828	0.000	0	qebaov,
7	258.791	0.000	0	jo
7	258.990	0.000	0	ziq'x
7	259.179	0.000	0	twem
7	259.382	0.000	0	o
7	259.486	0.000	0	baw
7	259.745	0.000	0	iruif
7	260.072	0.000	0	vak.
7	261.423	0.000	0	Bizv
7	261.741	0.000	0	um
7	261.805	0.000	0	wov
7	261.949	0.000	0	quxtevep
7	262.361	0.000	0	hewa
7	262.759	0.000	0	liciebg
7	263.191	0.000	0	o
7	263.240	0.000	0	jxdbuyr.
7	264.824	0.000	0	Xezb
7	265.043	0.000	0	al
7	265.172	0.000	0	qqu
7	265.281	0.000	0	1500q,
7	266.716	0.000	0	rax
7	266.915	0.000	0	kivd
7	267.198	0.000	0	dokavrk
7	267.679	0.000	0	goti
7	257.814	0.000	0	pukw
7	268.683	0.000	0	lij
7	268.851	0.000	0	yni
7	269.005	0.000	0	ikotuna
7	269.393	0.000	0	saztik.
7	270.689	0.000	0	
3	286.120	16.444	1	
6	286.611	0.000	0	We
6	286.824	0.000	0	know
6	287.080	0.000	0	when
6	287.250	0.000	0	he
6	287.432	0.000	0	married
6	288.221	0.000	0	and
6	288.477	0.000	0	when
6	288.658	0.000	0	he
6	288.893	0.000	0	had
6	289.063	0.000	0	children.
6	290.684	0.000	0	We
6	290.823	0.000	0	know
6	291.036	0.000	0	he
6	291.217	0.000	0	didn't
6	291.569	0.000	0	live
6	291.836	0.000	0	with
6	292.017	0.000	0	his
6	292.209	0.000	0	family
6	293.020	0.000	0	for
6	293.212	0.000	0	many
6	293.574	0.000	0	years.
6	294.822	0.000	0	Instead,
6	295.952	0.000	0	he
6	296.176	0.000	0	went
6	296.368	0.000	0	to
6	296.613	0.000	0	London,
6	297.669	0.000	0	where
6	297.872	0.000	0	he
6	298.000	0.000	0	became
6	298.352	0.000	0	an
6	298.448	0.000	0	actor,
6	299.589	0.000	0	playwright,
6	300.719	0.000	0	and
6	300.852	0.000	0	a
6	300.986	0.000	0	director
6	301.508	0.000	0	of
6	301.615	0.000	0	plays.
6	302.564	0.000	0	
4	303.564	13.203	1	
7	304.061	0.000	0	Qafgdasb
7	304.532	0.000	0	ay
7	304.669	0.000	0	sucvj
7	305.054	0.000	0	eyg
7	305.225	0.000	0	sfgunir
7	305.722	0.000	0	no
7	305.833	0.000	0	izu
7	306.124	0.000	0	ozaqd
7	306.497	0.000	0	pis
7	307.023	0.000	0	bulo
7	307.199	0.000	0	udzacbow
7	307.601	0.000	0	lq
7	307.854	0.000	0	xub—
7	308.620	0.000	0	nifnb
7	308.933	0.000	0	pajo
7	309.622	0.000	0	fiqb-nzuupix,
7	310.842	0.000	0	jievmarwawo,
7	311.784	0.000	0	olw
7	311.985	0.000	0	xifu
7	312.186	0.000	0	yubkof.
7	313.312	0.000	0	Coy
7	313.467	0.000	0	misjoehu,
7	314.015	0.000	0	olioj,
7	314.593	0.000	0	ehg
7	314.712	0.000	0	vkeluab
7	315.419	0.000	0	uyi
7	315.620	0.000	0	idd
7	315.740	0.000	0	oseogn
7	316.125	0.000	0	ib.
7	316.767	0.000	0	
3	332.198	20.309	1	
6	332.593	0.000	0	He
6	332.857	0.000	0	built
6	333.357	0.000	0	and
6	333.699	0.000	0	bought
6	333.989	0.000	0	theaters.
6	335.464	0.000	0	He
6	335.728	0.000	0	wrote
6	336.228	0.000	0	and
6	336.386	0.000	0	acted
